Year,,Month,Agriculture,Forestry and logging,"Fishing, aquaculture and agriculture, forestry and fishing support services",Mining,"Food, beverage, and tobacco manufacturing"," Textile, leather, clothing, and footwear manufacturing",Wood and paper products manufacturing,Printing,"Petroleum, chemical, polymer, and rubber product manufacturing",Non-metallic mineral product manufacturing, Metal product manufacturing,"Transport equipment, machinery and equipment manufacturing",Furniture and other manufacturing,Manufacturing,"Electricity, gas, water, and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal, and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring, and real estate services",Ownership of owner-occupied dwellings,"Professional, scientific, and technical services",Administrative and support services,Local government administration,"Central government administration, defence, and public safety",Education and training,Health care and social assistance,Arts and recreation services,Other services,Unallocated industries,Gross domestic product
1990,,Mar,4.1,3.9,1.0,5.3,-3.5,-6.1,2.7,1.8,0.8,2.6,-2.1,-5.5,-0.2,-1.8,5.1,-6.9,1.3,0.7,-1.0,-1.2,0.6,-1.3,-0.1,1.1,-0.2,-0.4,-0.2,1.5,0.7,0.8,4.4,4.2,1.3,-0.2
,,Jun,9.4,4.2,-3.1,0.8,3.1,-8.8,-0.1,-2.0,-0.5,-3.3,-3.4,-3.5,0.2,-0.7,1.5,-3.5,-1.5,-0.2,-2.2,0.8,-0.7,-0.6,0.4,1.8,-3.4,-2.8,-0.9,0.2,0.6,-0.9,-1.2,-3.8,0.2,0.0
,,Sep,4.3,1.5,8.7,22.0,4.2,-1.8,-0.9,1.0,-1.5,5.3,-6.1,-3.6,-3.8,-0.2,2.6,-7.9,1.9,-0.5,-1.6,0.6,0.9,1.4,-2.0,1.7,2.5,0.3,-1.3,-0.3,0.8,1.0,0.2,-0.9,0.2,0.9
,,Dec,5.3,3.0,-3.4,13.2,-3.7,6.0,-0.5,-3.4,2.8,-5.5,1.6,1.3,1.0,-0.3,-2.2,1.3,-0.9,1.5,1.2,-2.7,-0.7,1.1,-1.6,1.1,-0.9,-0.3,-2.1,2.3,1.0,2.2,-3.1,1.8,-0.2,1.2
1991,,Mar,-0.4,-1.2,-3.1,-14.6,-3.7,11.6,-2.3,-1.3,-9.8,-7.3,-6.3,-4.5,-4.6,-4.3,-2.5,-3.4,-6.0,-3.3,-2.0,1.1,0.8,0.1,-0.2,1.1,0.3,1.9,-2.5,-3.4,1.0,2.3,8.5,2.0,-3.2,-2.4
,,Jun,3.1,-0.9,0.2,6.4,-1.0,-15.4,-0.4,-4.5,-0.4,-3.0,-5.9,-7.2,0.0,-3.2,2.6,-9.3,-2.8,-0.7,-1.3,2.0,0.3,0.5,1.2,0.7,-0.2,-0.9,-4.6,-1.1,1.4,-2.2,-3.0,-3.4,-1.1,-0.7
,,Sep,-1.8,3.3,-1.4,3.5,6.3,10.5,2.8,1.8,2.8,-2.4,3.4,0.9,2.1,4.1,-2.3,-5.1,0.3,0.3,-1.7,-1.0,1.5,1.5,-0.3,0.2,-3.4,-1.8,-3.5,-0.8,1.2,-0.7,0.6,-0.6,0.4,0.3
,,Dec,-5.2,-0.2,7.6,-8.8,2.5,4.8,2.8,-0.3,1.4,7.5,1.9,-0.2,-0.7,2.1,2.5,-0.3,0.2,-0.9,1.1,8.1,2.0,1.2,0.1,-0.3,-0.6,1.5,-3.9,1.6,1.0,1.1,-1.1,-1.3,0.9,0.6
1992,,Mar,-3.0,0.0,4.4,5.9,0.0,-6.7,1.1,6.1,0.0,0.4,2.1,3.2,1.6,0.5,-0.9,8.2,-1.5,2.0,3.4,-5.2,1.9,0.3,0.3,-0.4,2.6,1.3,-4.1,-0.8,0.7,1.3,3.6,3.6,2.9,0.3
,,Jun,-9.9,-1.5,-0.3,13.2,0.6,-0.4,-0.1,-0.4,6.7,1.7,2.7,-0.7,-0.2,1.6,-2.4,-6.4,5.8,-0.4,-1.7,-0.4,0.4,0.7,0.3,-0.9,-0.1,-0.5,-6.4,1.3,0.6,-0.7,0.3,-4.1,-2.6,0.0
,,Sep,-5.6,-4.4,-0.3,-10.6,-0.8,2.7,-6.1,-12.5,-0.9,-1.1,-0.6,0.2,3.1,-1.4,-8.8,-1.7,-2.0,0.5,3.2,3.5,-1.0,0.6,-0.4,-1.1,-0.6,-0.4,-5.3,1.4,0.7,1.7,0.6,0.8,0.9,-0.8
,,Dec,-1.6,7.8,7.7,-10.4,-2.2,-5.0,12.1,12.4,1.6,10.3,2.9,1.9,3.8,1.8,13.6,2.4,-0.8,1.3,2.7,5.0,3.0,-0.7,0.8,0.2,1.2,2.9,-0.6,0.2,0.9,0.8,1.2,3.4,1.3,1.3
1993,,Mar,4.5,1.7,1.3,11.8,5.9,5.7,-3.4,-4.3,2.6,1.6,2.8,0.1,5.1,2.7,1.5,1.7,0.1,0.9,-1.2,2.6,1.2,0.8,1.3,0.8,1.8,2.9,-0.6,-0.5,1.0,1.6,8.0,6.9,0.4,1.6
,,Jun,10.6,2.3,0.1,3.2,-0.8,2.5,4.2,3.6,1.6,-2.2,6.5,5.0,-1.6,2.0,-1.2,4.1,4.0,1.8,0.4,2.3,0.8,2.1,1.0,1.1,1.0,0.0,3.2,1.5,1.2,-0.3,-3.0,0.5,2.1,2.2
,,Sep,9.6,-7.0,-2.2,-1.4,3.1,1.9,4.0,-0.3,2.7,5.6,0.9,0.1,1.2,2.3,5.6,6.3,1.6,1.7,2.0,-0.2,2.2,1.4,1.3,0.7,1.1,1.7,3.2,-1.6,1.0,-0.4,3.6,3.2,1.9,2.0
,,Dec,2.1,-0.3,1.0,9.7,-0.3,-3.2,1.8,-0.1,1.5,-3.8,-0.1,-1.1,-1.3,-0.1,-7.2,-2.3,-0.5,1.2,2.3,0.9,1.1,0.2,1.5,0.3,3.8,4.5,-1.8,1.2,1.1,1.4,-1.1,3.7,2.1,0.9
