Year,,Month,Agriculture,,Forestry and logging,,"Fishing, aquaculture and agriculture, forestry and fishing support services",,Mining,,"Food, beverage, and tobacco manufacturing",," Textile, leather, clothing, and footwear manufacturing",,Wood and paper products manufacturing,,Printing,,"Petroleum, chemical, polymer, and rubber product manufacturing",,Non-metallic mineral product manufacturing,, Metal product manufacturing,,"Transport equipment, machinery and equipment manufacturing",,Furniture and other manufacturing,,Manufacturing,,"Electricity, gas, water, and waste services",,Construction,,Wholesale trade,,Retail trade,,Accommodation and food services,,"Transport, postal, and warehousing",,Information media and telecommunications,,Financial and insurance services,,"Rental, hiring, and real estate services",,Ownership of owner-occupied dwellings,,"Professional, scientific, and technical services",,Administrative and support services,,Local government administration,,"Central government administration, defence, and public safety",,Education and training,,Health care and social assistance,,Arts and recreation services,,Other services,,Unallocated industries,,Gross domestic product,
2016,,Mar,"2,404",,357,,492,,765,R,"1,846",R,166,,521,,148,,941,,276,,649,,"1,017",,157,,"5,749",R,"1,701",R,"3,497",,"2,884",R,"2,708",,"1,212",,"2,603",,"2,172",,"3,217",,"4,025",,"3,939",,"4,664",,"1,189",,296,,"2,174",,"2,341",,"3,385",,782,,979,,"4,372",,"57,970",
,,Jun,"2,436",,349,,493,,733,R,"1,775",R,150,,529,,157,,924,,290,,659,,"1,026",,172,,"5,685",R,"1,688",R,"3,552",,"2,912",R,"2,754",,"1,217",,"2,578",,"2,132",,"3,246",,"4,059",,"4,009",,"4,758",,"1,184",,298,,"2,161",R,"2,346",,"3,451",,775,,992,,"4,485",,"58,525",
,,Sep,"2,332",,372,,502,,715,R,"1,866",R,146,,526,,151,,"1,011",,279,,655,,"1,055",,176,,"5,898",R,"1,695",,"3,557",,"2,948",,"2,775",,"1,256",,"2,666",,"2,087",,"3,265",,"4,075",,"4,086",,"4,825",,"1,202",,303,,"2,185",,"2,352",,"3,462",,760,,"1,014",,"4,486",,"59,042",
,,Dec,"2,332",,349,,495,,711,R,"1,875",R,144,,517,,157,,"1,009",,274,,678,,"1,046",,182,,"5,917",R,"1,676",,"3,615",,"2,948",,"2,796",,"1,263",,"2,645",,"2,060",,"3,321",,"4,078",,"4,154",,"4,871",,"1,238",,304,,"2,190",R,"2,358",,"3,506",,824,,"1,068",,"4,509",,"59,263",R
2017,,Mar,"2,396",,357,,497,,702,R,"1,809",R,147,,526,,148,,985,,271,,668,R,"1,092",R,178,,"5,838",R,"1,691",R,"3,646",,"2,992",R,"2,856",,"1,294",,"2,614",,"2,061",R,"3,346",,"4,117",,"4,199",,"4,986",,"1,246",,307,,"2,217",,"2,365",,"3,545",,785,,"1,075",,"4,564",,"59,878",
,,Jun,"2,202",R,391,,514,R,725,R,"2,019",R,144,,524,,144,,"1,004",,270,R,667,,"1,055",,169,,"6,032",R,"1,662",R,"3,755",,"3,024",R,"2,877",,"1,340",,"2,682",,"2,067",R,"3,406",,"4,105",,"4,284",,"5,009",,"1,277",,309,,"2,267",R,"2,372",,"3,555",,790,,"1,067",,"4,586",,"60,529",R
,,Sep,"2,152",,394,,529,,751,R,"1,890",R,145,,538,,152,,993,R,281,,668,,"1,155",R,169,,"6,010",R,"1,649",,"3,962",R,"3,036",R,"2,904",,"1,324",,"2,705",,"2,091",R,"3,467",,"4,056",,"4,337",,"5,100",,"1,251",,309,,"2,264",,"2,378",,"3,601",,830,,"1,088",,"4,639",,"61,046",
,,Dec,"2,132",,413,,542,R,787,R,"1,790",R,166,,538,,148,R,996,R,286,,653,,"1,101",R,169,R,"5,864",R,"1,673",,"4,011",R,"3,118",R,"2,951",,"1,327",,"2,743",,"2,130",,"3,602",,"4,078",,"4,386",,"5,170",,"1,293",,309,,"2,292",,"2,382",,"3,597",,882,,"1,084",,"4,744",R,"61,562",
2018,,Mar,"2,193",R,399,,545,R,748,R,"1,832",R,148,,548,,151,,993,,275,,670,R,"1,174",R,176,,"5,977",R,"1,663",R,"3,976",R,"3,129",R,"2,968",R,"1,342",,"2,747",,"2,187",R,"3,587",,"4,102",,"4,440",,"5,190",R,"1,332",,317,,"2,332",,"2,386",,"3,609",,856,,"1,095",,"4,798",,"62,034",
,,Jun,"2,319",R,402,,537,,647,R,"1,913",R,156,,530,,150,R,970,,281,,677,R,"1,222",R,174,R,"6,085",R,"1,767",R,"3,969",,"3,178",R,"3,018",,"1,347",,"2,768",,"2,270",R,"3,639",,"4,117",,"4,477",,"5,266",R,"1,377",,322,,"2,339",R,"2,387",,"3,641",R,859,,"1,115",,"4,806",R,"62,726",R
,,Sep,"2,338",R,421,R,534,,708,R,"1,878",,153,,531,,147,,"1,025",,289,,684,,"1,165",R,161,,"6,050",R,"1,748",,"3,942",R,"3,194",R,"3,042",,"1,338",,"2,786",,"2,285",R,"3,622",,"4,112",,"4,515",,"5,192",,"1,344",,320,,"2,391",R,"2,388",,"3,670",,904,,"1,093",,"4,835",,"62,904",R
,,Dec,"2,370",R,417,,554,R,660,R,"1,926",R,157,,539,,147,,"1,012",,280,,681,,"1,160",R,175,,"6,098",R,"1,746",,"4,052",R,"3,199",R,"3,103",,"1,379",,"2,772",,"2,322",R,"3,682",,"4,068",R,"4,563",,"5,345",R,"1,373",,331,,"2,433",R,"2,388",,"3,697",R,877,,"1,090",,"4,890",R,"63,701",
2019,,Mar,"2,331",,427,,570,R,671,R,"1,958",,155,,525,R,151,R,"1,046",,293,,705,R,"1,136",R,172,R,"6,169",R,"1,762",R,"4,274",R,"3,211",R,"3,130",,"1,350",,"2,809",,"2,297",R,"3,665",,"4,097",,"4,644",,"5,350",,"1,341",,331,,"2,442",,"2,386",,"3,786",,838,,"1,112",,"4,916",R,"64,066",R
,,Jun,"2,285",R,414,,565,R,655,R,"1,885",R,157,,536,R,148,,"1,019",R,285,,691,,"1,137",R,173,,"6,048",R,"1,780",R,"4,305",R,"3,227",R,"3,135",,"1,354",,"2,882",,"2,302",R,"3,737",R,"4,152",,"4,671",,"5,392",R,"1,363",,332,,"2,498",,"2,383",,"3,790",R,874,,"1,126",,"4,899",R,"64,412",R
,,Sep,"2,274",R,406,,555,R,664,,"1,890",,153,,533,,149,,"1,000",R,276,,696,R,"1,172",R,188,,"6,072",R,"1,767",,"4,403",R,"3,235",R,"3,200",,"1,370",,"2,839",,"2,330",R,"3,733",,"4,149",R,"4,721",,"5,600",,"1,327",,341,,"2,513",R,"2,381",,"3,811",,908,,"1,133",,"4,980",R,"64,948",R
,,Dec,"2,259",R,393,,562,R,662,R,"1,895",R,148,R,518,R,148,,"1,004",R,273,R,684,,"1,193",R,182,,"6,062",R,"1,776",R,"4,434",R,"3,245",R,"3,226",,"1,373",,"2,896",,"2,329",,"3,725",R,"4,168",R,"4,765",,"5,613",,"1,346",,349,,"2,602",R,"2,378",,"3,835",R,952,,"1,128",,"5,036",R,"65,160",R
2020,,Mar,"2,247",,383,R,572,R,690,R,"1,888",R,122,,540,R,142,R,994,R,273,,660,R,"1,124",R,178,,"5,950",R,"1,769",R,"4,231",R,"3,214",R,"3,262",,"1,233",R,"2,693",,"2,369",R,"3,656",R,"4,144",R,"4,795",,"5,727",,"1,326",,355,R,"2,592",R,"2,363",,"3,885",,885,,"1,105",R,"4,986",R,"64,413",R
,,Jun,"2,226",R,329,,575,R,491,R,"1,809",R,97,,432,R,109,R,875,R,207,R,520,R,959,R,146,R,"5,244",R,"1,663",R,"3,141",R,"2,827",R,"2,822",R,776,R,"1,980",,"2,244",R,"3,660",,"3,968",R,"4,825",,"5,333",R,912,R,362,R,"2,628",R,"2,183",,"3,735",R,573,,927,R,"4,188",R,"57,718",R
,,Sep,"2,368",R,415,,616,R,571,,"2,006",,163,R,550,,131,,974,,296,,687,R,"1,125",R,214,,"6,180",R,"1,745",R,"4,745",R,"3,367",R,"3,548",,"1,431",R,"2,252",,"2,393",R,"3,683",R,"4,312",,"4,869",,"5,657",R,"1,094",R,360,R,"2,676",,"2,307",,"3,964",,841,,"1,111",R,"4,940",R,"65,611",R
,,Dec,"2,317",,424,,599,R,554,R,"1,962",R,135,,566,R,139,,962,R,287,,680,,"1,198",R,186,R,"6,138",R,"1,755",R,"4,353",R,"3,307",R,"3,451",R,"1,367",,"2,382",R,"2,407",R,"3,689",,"4,335",R,"4,952",,"5,717",R,"1,135",R,359,R,"2,730",R,"2,323",,"4,010",R,877,,"1,172",,"4,908",R,"65,336",R
2021,,Mar,"2,355",R,432,R,608,R,549,R,"1,962",R,154,,573,R,139,R,923,,296,R,681,R,"1,294",R,196,R,"6,221",R,"1,726",,"4,681",R,"3,440",R,"3,553",,"1,341",R,"2,376",,"2,461",R,"3,628",R,"4,308",R,"4,997",,"5,837",R,"1,180",R,361,R,"2,757",R,"2,325",R,"4,102",R,841,,"1,185",R,"5,280",R,"66,463",R
,,Jun,"2,407",R,435,,688,R,568,R,"1,937",R,152,R,571,R,141,R,943,R,307,R,701,R,"1,292",R,207,R,"6,243",R,"1,784",R,"4,634",R,"3,516",R,"3,651",R,"1,619",R,"2,707",,"2,432",R,"3,632",R,"4,310",,"5,035",,"6,042",R,"1,234",R,359,R,"2,753",R,"2,305",R,"4,209",R,891,,"1,223",R,"5,145",R,"68,023",R
,,Sep,"2,289",R,406,,642,R,528,,"1,902",,132,,504,,132,,879,,242,,609,R,"1,179",R,182,R,"5,801",R,"1,792",R,"4,172",R,"3,463",,"3,366",,"1,243",R,"2,590",R,"2,392",,"3,649",R,"4,276",R,"5,102",,"6,049",R,"1,146",R,366,R,"2,788",R,"2,231",R,"4,223",R,748,,"1,069",,"4,880",R,"65,346",R
,,Dec,"2,232",R,414,R,643,R,572,R,"1,857",R,158,R,580,R,139,,902,R,311,R,710,R,"1,329",R,202,,"6,152",R,"1,806",R,"4,535",R,"3,631",R,"3,723",,"1,208",R,"2,561",R,"2,443",R,"3,632",R,"4,292",R,"5,156",R,"6,577",R,"1,172",R,369,R,"2,809",R,"2,177",R,"4,391",R,729,,"1,156",R,"5,060",R,"67,319",R
2022,,Mar,"2,254",R,410,R,611,R,521,R,"1,825",R,142,,560,R,139,R,912,R,312,R,708,R,"1,285",R,205,R,"6,057",R,"1,805",R,"4,595",R,"3,687",R,"3,635",R,"1,201",R,"2,505",R,"2,414",R,"3,584",R,"4,293",R,"5,202",R,"6,497",R,"1,242",R,369,R,"2,809",R,"2,260",R,"4,418",R,730,,"1,157",R,"5,108",R,"67,160",R
,,Jun,"2,258",,407,,658,,480,,"1,881",,151,,553,,147,,544,,306,,693,,"1,268",,193,,"5,702",,"1,805",,"4,486",,"3,748",,"3,499",,"1,561",,"2,998",,"2,405",,"3,650",,"4,288",,"5,214",,"6,524",,"1,301",,371,,"2,804",,"2,241",,"4,457",,875,,"1,176",,"5,206",,"68,311",
